label;text
# 0 ПолучитьИнформациюНаправления
0;Я хочу поступить на программиста
0;Я хочу поступить на бакалавриат
0;Я хочу поступить на программную инженерию
0;Что нужно для поступления на 09.03.04
0;Сколько баллов нужно для поступления
0;Сколько баллов будет нужно в этом году набрать
0;Расскажи о 09.03.04
# 1 ПолучитьИнформациюИнститута
1;Что интересного в ИТ?
1;Какие программы обучения предлагает институт?
1;Как устроена система зачисления в институт?
1;Какие есть требования для поступления в институт?
1;Какие дисциплины изучаются в институте?
1;Какие специализации есть в институте?
1;Какие возможности трудоустройства после окончания института?
1;Какие научные исследования проводятся в институте?
1;Какие стипендии предоставляет институт?
1;Какие меры поддержки студентов есть в институте?
1;Какие виды общежитий есть в институте?
1;Какие услуги медицинского центра предоставляет институт?
1;Какие библиотечные фонды доступны студентам института?
1;Какие возможности для саморазвития есть в институте?
1;Какие кружки и секции есть в институте?
1;Какие мероприятия проводятся в институте?
1;Какие варианты оплаты обучения есть в институте?
1;Какие возможности для стажировки предоставляет институт?
1;Какие проекты реализовывают студенты института?
1;Какие условия для иностранных студентов есть в институте?
1;Какие преподаватели работают в институте?
1;Какие научные лаборатории есть в институте?
1;Какие конференции проводятся в институте?
1;Какие возможности для участия в проектах есть в институте?
1;Какие карьерные перспективы у выпускников института?
1;Какие научные журналы доступны в библиотеке института?
1;Какие компьютерные классы есть в институте?
1;Какие возможности для обмена опытом есть в институте?
1;Какие дополнительные курсы предлагает институт?
1;Какие профессиональные сообщества существуют в институте?
1;Какие спортивные секции есть в институте?
1;Какие услуги по трудоустройству выпускников предоставляет институт?
1;Какие программы обмена студентами есть в институте?
1;Какие возможности для участия в проектах есть для магистрантов?
1;Какие научные достижения есть у преподавателей института?
1;Какие проекты проводятся в рамках кафедр института?
1;Какие меры поддержки для талантливых студентов есть в институте?
1;Какие варианты дистанционного обучения есть в институте?
1;Какие возможности для участия в конференциях есть для студентов?
1;Какие услуги бизнес-инкубатора предоставляет институт?
1;Какие дополнительные программы подготовки к экзаменам предлагает институт?
1;Какие возможности для обмена опытом есть для преподавателей?
1;Какие курсы повышения квалификации предлагает институт?
1;Какие научные конкурсы проводятся в институте?
1;Какие меры социальной поддержки есть в институте?
1;Какие услуги карьерного центра предоставляет институт?
1;Какие возможности для участия в проектах есть для аспирантов?
1;Какие условия для льготной оплаты обучения есть в институте?
1;Какие программы обучения на иностранных языках предлагает институт?
1;Какие научные журналы издаются в институте?
1;Какие возможности для участия в проектах есть для бакалавров?
# 2 СкидкиНаОбучение
2;Скидки
2;Скидки на обучение
2;Какие существуют скидки на обучение для новых студентов?
2;Можно ли получить скидку на обучение, если я являюсь студентом другого университета?
2;Какую скидку можно получить при оплате всего курса обучения?
2;Есть ли какие-то специальные скидки на обучение для ветеранов или военнослужащих?
2;Какие программы обучения имеют скидки на следующий год?
2;Можно ли получить скидку на обучение, если оплачивать курсы нескольким студентам?
2;Какие скидки доступны для онлайн-обучения?
2;Есть ли возможность получить скидку на обучение, если я решил продолжить обучение в этом учебном заведении после бакалавриата?
2;Какие скидки доступны для абитуриентов, которые поступили на обучение на следующий учебный год?
2;Какие скидки на обучение можно получить при оплате сразу за несколько семестров?
2;Какие скидки доступны для магистрантов?
2;Могу ли я получить скидку на обучение, если я работаю в компании-партнере университета?
2;Какие скидки на обучение доступны для студентов с отличной успеваемостью?
2;Есть ли какие-то скидки на обучение для иностранных студентов?
2;Какие скидки на обучение можно получить, если оплачивать обучение в рассрочку?
2;Какие скидки доступны для студентов, которые проживают в общежитии университета?
2;Какие существуют скидки на обучение на летних курсах?
2;Можно ли получить скидку на обучение, если являюсь выпускником этого университета?
2;Какие скидки доступны для студентов, которые поступили на второе высшее образование?
2;Есть ли какие-то скидки на обучение для студентов, которые платят наличными?
2;Какие скидки на обучение доступны для студентов, которые работают на кафедре университета?
2;Могу ли я получить скидку на обучение, если являюсь членом студенческого совета?
2;Какие скидки доступны для студентов, которые переводятся из других университетов?
2;Есть ли какие-то специальные скидки на обучение для студентов младших курсов?
2;Какие скидки на обучение доступны для студентов, которые учатся на выходных?
2;Можно ли получить скидку на обучение, если являюсь обладателем спортивного разряда?
2;Какие скидки доступны для студентов, которые поступили на обучение по программе "магистратура + докторантура"?
2;Есть ли какие-то скидки на обучение для студентов, которые планируют поступать на магистратуру в этом университете?
2;Какие скидки на обучение можно получить, если являюсь участником программы обмена студентами?
2;Какие скидки доступны для студентов, которые являются волонтерами университета?
2;Могу ли я получить скидку на обучение, если я решил перевестись на другой факультет?
2;Какие скидки на обучение доступны для студентов, которые выбрали специальность с дефицитом кадров?
2;Есть ли какие-то скидки на обучение для студентов, которые учатся на очной форме обучения?
2;Какие скидки доступны для студентов, которые учатся на заочной форме обучения?
2;Могу ли я получить скидку на обучение, если являюсь стипендиатом университета?
2;Какие скидки на обучение доступны для студентов, которые планируют поступать на аспирантуру в этом университете?
2;Есть ли какие-то специальные скидки на обучение для студентов, которые являются представителями меньшинств?
2;Какие скидки на обучение можно получить, если являюсь ребенком сотрудника университета?
2;Какие скидки доступны для студентов, которые являются членами спортивных команд университета?
2;Могу ли я получить скидку на обучение, если я решил отложить обучение на год?
2;Какие скидки на обучение доступны для студентов, которые учатся на факультете дизайна?
2;Есть ли какие-то скидки на обучение для студентов, которые не имеют высокого дохода?
2;Какие скидки доступны для студентов, которые поступили на обучение на вечерние курсы?
# 3
3;Гранты
3;Гранты на обучение
3;Какие виды грантов на обучение существуют?
3;Как я могу узнать, могу ли я получить грант на обучение?
3;Какие условия нужно выполнить, чтобы получить грант на обучение?
3;Какие документы нужно предоставить для получения гранта на обучение?
3;Какие суммы грантов доступны для студентов?
3;Как долго занимает процесс получения гранта на обучение?
3;Какие требования нужно выполнить для подачи заявки на грант на обучение?
3;Как я могу узнать, есть ли возможность получить грант на обучение, если я уже учусь в университете?
3;Какие критерии используются для определения получателей грантов на обучение?
3;Какие гранты на обучение доступны для иностранных студентов?
3;Какие гранты на обучение доступны для студентов, изучающих определенные специальности?
3;Какие гранты на обучение доступны для студентов, желающих продолжить обучение за рубежом?
3;Какие гранты на обучение доступны для студентов, которые имеют высокие результаты в учебе?
3;Какие гранты на обучение доступны для студентов, которые занимаются научной деятельностью?
3;Какие гранты на обучение доступны для студентов, которые занимаются спортом?
3;Какие гранты на обучение доступны для студентов, которые нуждаются в финансовой поддержке?
3;Какие гранты на обучение доступны для студентов, которые имеют выдающиеся достижения в культуре или искусстве?
3;Какие гранты на обучение доступны для студентов, которые имеют высокий уровень знания иностранных языков?
3;Какие гранты на обучение доступны для студентов, которые занимаются волонтерской деятельностью?
3;Какие гранты на обучение доступны для студентов, которые имеют инвалидность?
3;Какие гранты на обучение доступны для студентов из разных регионов страны?
3;Какие гранты на обучение доступны для студентов, которые являются членами определенных организаций или ассоциаций?
3;Какие гранты на обучение доступны для студентов, которые имеют определенный уровень дохода?
3;Какие гранты на обучение доступны для студентов, которые занимаются научной работой в определенной области?
3;Какие гранты на обучение доступны для студентов, которые занимаются исследовательской деятельностью в определенной области?
3;Какие гранты на обучение доступны для студентов, которые занимаются разработкой научных проектов?
3;Какие гранты на обучение доступны для студентов, которые занимаются подготовкой к экзаменам или тестированию?
